pressure_ratio,TIT_degC,efficiency_pct,specific_work_kJ_per_kg
15.30,1350.00,36.20,438.91
15.52,1350.00,36.30,438.90
15.82,1349.98,36.44,438.84
16.12,1350.00,36.58,438.76
16.29,1350.00,36.65,438.69
16.51,1349.98,36.75,438.58
16.81,1350.00,36.87,438.40
17.00,1350.00,36.95,438.28
17.31,1349.98,37.07,438.02
17.32,1349.98,37.08,438.01
17.62,1350.00,37.19,437.75
17.80,1350.00,37.26,437.57
18.18,1350.00,37.40,437.16
18.79,1350.00,37.61,436.40
18.98,1350.00,37.67,436.15
19.24,1350.00,37.76,435.78
19.66,1350.00,37.89,435.15
19.81,1349.88,37.94,434.84
19.95,1350.00,37.98,434.68
20.15,1350.00,38.04,434.36
20.45,1350.00,38.12,433.86
20.49,1350.00,38.14,433.77
20.70,1349.99,38.19,433.41
20.92,1350.00,38.26,433.01
20.93,1350.00,38.26,432.99
21.18,1350.00,38.33,432.54
21.18,1350.00,38.33,432.53
21.43,1350.00,38.39,432.05
21.55,1350.00,38.42,431.82
21.86,1350.00,38.50,431.22
22.05,1350.00,38.55,430.82
22.10,1350.00,38.56,430.74
22.31,1350.00,38.61,430.30
22.51,1350.00,38.66,429.89
22.63,1350.00,38.69,429.63
23.04,1349.88,38.78,428.66
23.36,1349.99,38.85,428.03
23.60,1350.00,38.90,427.50
23.95,1350.00,38.97,426.70
24.00,1350.00,38.98,426.59
